Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level,Total_Speakers,Duplicate_Columns,Endangerment_Level
kalapalo,Brazil,vulnerable,506,1.0,506,True,
kalasha,Pakistan,severely endangered,5000,3.0,5000,True,
kalaw lagaw ya,Australia,definitely endangered,700,2.0,700,True,
kalispel,United States of America,critically endangered,5,4.0,5,True,
kalmyk,Russian Federation,definitely endangered,153602,2.0,153602,True,
kamaiur,Brazil,vulnerable,400,1.0,400,True,
kamara,Ghana,definitely endangered,3000,2.0,3000,True,
kamarian,Indonesia,critically endangered,10,4.0,10,True,
kamas,Russian Federation,extinct,0,5.0,0,True,
kamas turk,Russian Federation,extinct,0,5.0,0,True,
kamasa,Papua New Guinea,critically endangered,20,4.0,20,True,
kami,United Republic of Tanzania,severely endangered,5000,3.0,5000,True,
kanakanabu,China,critically endangered,20,4.0,20,True,
kanashi,India,definitely endangered,1500,2.0,1500,True,
kandas,Papua New Guinea,vulnerable,300,1.0,300,True,
kanela apaniekra,Brazil,vulnerable,458,1.0,458,True,
kanela rankokamekra,Brazil,vulnerable,1337,1.0,1337,True,
kanga,Sudan,severely endangered,8000,3.0,8000,True,
kangdi,India,definitely endangered,1700000,2.0,1700000,True,
kangjia,China,severely endangered,300,3.0,300,True,
kaniet,Papua New Guinea,extinct,0,5.0,0,True,
kaningara,Papua New Guinea,vulnerable,327,1.0,327,True,
kanowit,Malaysia,severely endangered,100,3.0,100,True,
kano,Brazil,critically endangered,5,4.0,5,True,
kansa,United States of America,extinct,0,5.0,0,True,
kao,Indonesia,definitely endangered,200,2.0,200,True,
kapingamarangi,Micronesia (Federated States of),severely endangered,3000,3.0,3000,True,
kapori,Indonesia,critically endangered,35,4.0,35,True,
kaqchikel,Guatemala,vulnerable,444954,1.0,444954,True,
kaqchikel,Mexico,critically endangered,35,4.0,35,True,
karachaybalkar,Russian Federation,vulnerable,302748,1.0,302748,True,
karagash,Russian Federation,definitely endangered,7000,2.0,7000,True,
karaim,Lithuania,severely endangered,50,3.0,50,True,
karaim,Ukraine,critically endangered,6,4.0,6,True,
karajarri,Australia,critically endangered,10,4.0,10,True,
karaj,Brazil,vulnerable,1500,1.0,1500,True,
karami,Papua New Guinea,extinct,0,5.0,0,True,
karang,Chad,vulnerable,10000,1.0,10000,True,
karas,Indonesia,severely endangered,100,3.0,100,True,
karata,Russian Federation,definitely endangered,6574,2.0,6574,True,
karbi,India,vulnerable,420000,1.0,420000,True,
karelian,"Finland, Russian Federation",definitely endangered,20000,2.0,20000,True,
karelian,Russian Federation,definitely endangered,10000,2.0,10000,True,
kari,Democratic Republic of the Congo,severely endangered,1000,3.0,1000,True,
karia,Venezuela (Bolivarian Republic of),severely endangered,11000,3.0,11000,True,
karia,"Guyana, Suriname",severely endangered,4000,3.0,4000,True,
karia,French Guiana (France),definitely endangered,2000,2.0,2000,True,
karia,Brazil,definitely endangered,66,2.0,66,True,
karipuna,Brazil,definitely endangered,10,2.0,10,True,
karipuna do amap,Brazil,vulnerable,2200,1.0,2200,True,
karitiana,Brazil,vulnerable,320,1.0,320,True,
karko,Sudan,definitely endangered,12986,2.0,12986,True,
karo,Brazil,vulnerable,208,1.0,208,True,
karo,Ethiopia,critically endangered,200,4.0,200,True,
karone,Senegal,vulnerable,10000,1.0,10000,True,
karore,Papua New Guinea,vulnerable,550,1.0,550,True,
karuk,United States of America,severely endangered,12,3.0,12,True,
kasanga,Guinea-Bissau,critically endangered,650,4.0,650,True,
kashaya,United States of America,critically endangered,24,4.0,24,True,
kashubian,Poland,severely endangered,53000,3.0,53000,True,
kaska,Canada,severely endangered,155,3.0,155,True,
kasong,"Cambodia, Thailand",critically endangered,50,4.0,50,True,
katabaga,Philippines,extinct,0,5.0,0,True,
katawixi,Brazil,critically endangered,10,4.0,10,True,
kathu,China,definitely endangered,5000,2.0,5000,True,
kati,"Pakistan, Afghanistan",definitely endangered,18700,2.0,18700,True,
katla,Sudan,definitely endangered,14208,2.0,14208,True,
kato,United States of America,extinct,0,5.0,0,True,
katukina do acre,Brazil,severely endangered,404,3.0,404,True,
katuknakanamar,Brazil,vulnerable,2100,1.0,2100,True,
katxuyanaxikuyna,Brazil,vulnerable,150,1.0,150,True,
kaurna,Australia,critically endangered,1000,4.0,1000,True,
kavalan,China,critically endangered,24,4.0,24,True,
kawaiisu,United States of America,critically endangered,10,4.0,10,True,
kawucha,Papua New Guinea,critically endangered,30,4.0,30,True,
kaxarari,Brazil,critically endangered,300,4.0,300,True,
kayabi,Brazil,vulnerable,1000,1.0,1000,True,
kayardild,Australia,critically endangered,8,4.0,8,True,
kayeli,Indonesia,extinct,0,5.0,0,True,
kayupulau,Indonesia,critically endangered,50,4.0,50,True,
kazukuru,Solomon Islands,extinct,0,5.0,0,True,
kede,Angola,extinct,0,5.0,0,True,
keder,Indonesia,severely endangered,180,3.0,180,True,
keiga,Sudan,severely endangered,6072,3.0,6072,True,
kelo,Sudan,critically endangered,200,4.0,200,True,
kembra,Indonesia,critically endangered,20,4.0,20,True,
kemi saami,Finland,extinct,0,5.0,0,True,
kenaboi,Malaysia,extinct,0,5.0,0,True,
kendeje,Chad,definitely endangered,1859,2.0,1859,True,
kendem,Cameroon,severely endangered,1500,3.0,1500,True,
kensiw,Thailand,severely endangered,500,3.0,500,True,
kensiw,Malaysia,critically endangered,1000,4.0,1000,True,
kentak,Malaysia,critically endangered,1000,4.0,1000,True,
kerek,Russian Federation,extinct,0,5.0,0,True,
ket,Russian Federation,severely endangered,150,3.0,150,True,
ketangalan,China,extinct,0,5.0,0,True,
khacca bhoe,Nepal,definitely endangered,0,2.0,0,True,
khakas,Russian Federation,definitely endangered,52217,2.0,52217,True,
khalaj,Iran (Islamic Republic of),vulnerable,42100,1.0,42100,True,
khaling,Nepal,definitely endangered,9288,2.0,9288,True,
kham,Nepal,definitely endangered,30000,2.0,30000,True,
khamba,"China, India",definitely endangered,1500,2.0,1500,True,
khamnigan mongol,"China, Mongolia, Russian Federation",definitely endangered,2000,2.0,2000,True,
khampti,India,vulnerable,13000,1.0,13000,True,
khang quang lam,Viet Nam,severely endangered,3921,3.0,3921,True,
kharia,India,vulnerable,200000,1.0,200000,True,
khasali,India,definitely endangered,1000,2.0,1000,True,
khasi,India,vulnerable,912000,1.0,912000,True,
kheng,Bhutan,vulnerable,40000,1.0,40000,True,
kheza,India,vulnerable,41000,1.0,41000,True,
khiamngan,India,vulnerable,38000,1.0,38000,True,
khinalug,Azerbaijan,severely endangered,2500,3.0,2500,True,
khmin,China,vulnerable,500,1.0,500,True,
khoirao,India,vulnerable,20000,1.0,20000,True,
khojki,Oman,severely endangered,5000,3.0,5000,True,
khorasani turk,Iran (Islamic Republic of),vulnerable,200000,1.0,200000,True,
khowa,India,definitely endangered,1000,2.0,1000,True,
khowar,Pakistan,vulnerable,222800,1.0,222800,True,
khunsari,Iran (Islamic Republic of),definitely endangered,21000,2.0,21000,True,
khvarshi,Russian Federation,definitely endangered,500,2.0,500,True,
khwe,Namibia,definitely endangered,5000,2.0,5000,True,
khvsgl uryangkhay,Mongolia,critically endangered,10,4.0,10,True,
kickapoo,United States of America,severely endangered,400,3.0,400,True,
kickapoo,Mexico,critically endangered,144,4.0,144,True,
kija,Australia,severely endangered,60,3.0,60,True,
kiksht,United States of America,critically endangered,7,4.0,7,True,
kildin saami,Russian Federation,severely endangered,787,3.0,787,True,
kilen,"China, Russian Federation",critically endangered,20,4.0,20,True,
kili,Russian Federation,severely endangered,1000,3.0,1000,True,
kilit,Azerbaijan,extinct,0,5.0,0,True,
kiliwa,Mexico,critically endangered,56,4.0,56,True,
kim,Sierra Leone,critically endangered,20,4.0,20,True,
kinare,Kenya,extinct,0,5.0,0,True,
kings river yokuts,United States of America,critically endangered,6,4.0,6,True,
kinikinau,Brazil,critically endangered,11,4.0,11,True,
kinnauri,India,definitely endangered,65097,2.0,65097,True,
kiong,Nigeria,critically endangered,100,4.0,100,True,
kiowa,United States of America,severely endangered,400,3.0,400,True,
kiowa apache,United States of America,critically endangered,3,4.0,3,True,
kisdj,Brazil,vulnerable,351,1.0,351,True,
kivallirmiutut,Canada,vulnerable,4675,1.0,4675,True,
klallam,United States of America,critically endangered,2,4.0,2,True,
klamathmodoc,United States of America,extinct,0,5.0,0,True,
ko,Sudan,critically endangered,2683,4.0,2683,True,
koasati,United States of America,definitely endangered,450,2.0,450,True,
koch,India,definitely endangered,31000,2.0,31000,True,
koda,India,vulnerable,25000,1.0,25000,True,
kodagu,India,definitely endangered,166187,2.0,166187,True,
kodeoha,Indonesia,vulnerable,1000,1.0,1000,True,
kofei,Indonesia,severely endangered,100,3.0,100,True,
kogui,Colombia,vulnerable,9911,1.0,9911,True,
kohi,Nepal,vulnerable,2641,1.0,2641,True,
koireng,India,critically endangered,1056,4.0,1056,True,
koitabu,Papua New Guinea,vulnerable,3000,1.0,3000,True,
kokborok,"Bangladesh, India",vulnerable,695000,1.0,695000,True,
koke,Chad,severely endangered,600,3.0,600,True,
koko bera,Australia,severely endangered,20,3.0,20,True,
kokota,Solomon Islands,vulnerable,200,1.0,200,True,
kolami,India,definitely endangered,121855,2.0,121855,True,
kom,India,definitely endangered,5000,2.0,5000,True,
komi,Russian Federation,definitely endangered,217316,2.0,217316,True,
komo,"Ethiopia, Sudan",definitely endangered,11500,2.0,11500,True,
kona,Nigeria,severely endangered,2000,3.0,2000,True,
konda,India,definitely endangered,118597,2.0,118597,True,
koneraw,Indonesia,vulnerable,200,1.0,200,True,
konkow,United States of America,critically endangered,3,4.0,3,True,
konni,Ghana,vulnerable,3800,1.0,3800,True,
konomihu,United States of America,extinct,0,5.0,0,True,
konyak,India,vulnerable,248000,1.0,248000,True,
koraga,India,critically endangered,16665,4.0,16665,True,
korana,South Africa,critically endangered,6,4.0,6,True,
korandje,Algeria,severely endangered,5000,3.0,5000,True,
kore,Kenya,extinct,0,5.0,0,True,
koreguaje,Colombia,definitely endangered,2000,2.0,2000,True,
korku,India,vulnerable,200000,1.0,200000,True,
koro,Vanuatu,definitely endangered,160,2.0,160,True,
koro,India,definitely endangered,1000,2.0,1000,True,
koroni,Indonesia,definitely endangered,400,2.0,400,True,
koroshi,Iran (Islamic Republic of),critically endangered,200,4.0,200,True,
korwa,India,vulnerable,35000,1.0,35000,True,
koryak,Russian Federation,severely endangered,2000,3.0,2000,True,
korbo,Brazil,vulnerable,205,1.0,205,True,
kosraean,"Micronesia (Federated States of), Nauru",severely endangered,6900,3.0,6900,True,
kota,India,critically endangered,2000,4.0,2000,True,
kott,Russian Federation,extinct,0,5.0,0,True,
kowaki,Papua New Guinea,critically endangered,31,4.0,31,True,
kowiai,Indonesia,vulnerable,600,1.0,600,True,
koyukon,United States of America,critically endangered,150,4.0,150,True,
krah,Brazil,vulnerable,2184,1.0,2184,True,
kraol,Cambodia,critically endangered,1000,4.0,1000,True,
kravet,Cambodia,critically endangered,1000,4.0,1000,True,
krenak,Brazil,critically endangered,10,4.0,10,True,
krenj,Brazil,extinct,0,5.0,0,True,
krevin,Latvia,extinct,0,5.0,0,True,
kri,Lao People's Democratic Republic,severely endangered,31,3.0,31,True,
krikati,Brazil,vulnerable,682,1.0,682,True,
kristang,Malaysia,severely endangered,2150,3.0,2150,True,
krongo,Sudan,definitely endangered,21688,2.0,21688,True,
krueng,Cambodia,severely endangered,1000,3.0,1000,True,
kryz,Azerbaijan,severely endangered,10000,3.0,10000,True,
kua,Botswana,definitely endangered,900,2.0,900,True,
kuay,Cambodia,severely endangered,1000,3.0,1000,True,
kuducamo,Nigeria,critically endangered,42,4.0,42,True,
kui,India,vulnerable,916222,1.0,916222,True,
kuikuro,Brazil,vulnerable,600,1.0,600,True,
kujarge,Chad,definitely endangered,1000,2.0,1000,True,
kujubim,Brazil,critically endangered,2,4.0,2,True,
kuk,Cameroon,definitely endangered,3000,2.0,3000,True,
kukatja,Australia,vulnerable,1000,1.0,1000,True,
kuku yalanji,Australia,severely endangered,23,3.0,23,True,
kulfa,Chad,definitely endangered,2200,2.0,2200,True,
kulina pno,Brazil,severely endangered,20,3.0,20,True,
kului,India,definitely endangered,170770,2.0,170770,True,
kulun,China,extinct,0,5.0,0,True,
kulung,Nepal,vulnerable,18686,1.0,18686,True,
kumak,New Caledonia (France),vulnerable,847,1.0,847,True,
kumaoni,"India, Nepal",vulnerable,2003783,1.0,2003783,True,
kumyk,Russian Federation,vulnerable,458121,1.0,458121,True,
kumzari,Oman,severely endangered,1700,3.0,1700,True,
kumle,Nepal,severely endangered,6533,3.0,6533,True,
kuna,Panama,vulnerable,61703,1.0,61703,True,
kuna,Colombia,severely endangered,876,3.0,876,True,
kunbarlang,Australia,severely endangered,140,3.0,140,True,
kundal shahi,"India, Pakistan",definitely endangered,500,2.0,500,True,
kung,Cameroon,severely endangered,1750,3.0,1750,True,
kunigami,Japan,definitely endangered,1000,2.0,1000,True,
kunjen,Australia,critically endangered,2,4.0,2,True,
kunwinjku,Australia,vulnerable,974,1.0,974,True,
kuot,Papua New Guinea,vulnerable,1000,1.0,1000,True,
kurrama,Australia,critically endangered,10,4.0,10,True,
kurripako,"Colombia, Venezuela (Bolivarian Republic of)",definitely endangered,10000,2.0,10000,True,
kurripako,Brazil,vulnerable,1332,1.0,1332,True,
kurru,India,definitely endangered,300000,2.0,300000,True,
kurtjar,Australia,extinct,0,5.0,0,True,
kurtp,Bhutan,vulnerable,10000,1.0,10000,True,
kuruba,India,critically endangered,14613,4.0,14613,True,
kurux,India,vulnerable,1751489,1.0,1751489,True,
kurux,Bangladesh,vulnerable,65000,1.0,65000,True,
kurux,Nepal,vulnerable,28615,1.0,28615,True,
kuruya,Brazil,critically endangered,2,4.0,2,True,
kusunda,Nepal,critically endangered,87,4.0,87,True,
kutenai,"Canada, United States of America",severely endangered,135,3.0,135,True,
kuuku yau,Australia,critically endangered,9,4.0,9,True,
kuurinji,Australia,definitely endangered,175,2.0,175,True,
kuvi,India,definitely endangered,300000,2.0,300000,True,
kwadza,United Republic of Tanzania,extinct,0,5.0,0,True,
kwadi,Angola,extinct,0,5.0,0,True,
kwakwala,"Canada, United States of America",critically endangered,315,4.0,315,True,
kwama,Ethiopia,vulnerable,15000,1.0,15000,True,
kwansu,Indonesia,vulnerable,300,1.0,300,True,
kwatay,Senegal,severely endangered,5625,3.0,5625,True,
kwaz,Brazil,critically endangered,25,4.0,25,True,
kwegu,Ethiopia,critically endangered,103,4.0,103,True,
kwerisa,Indonesia,critically endangered,30,4.0,30,True,
kwisi,Angola,extinct,0,5.0,0,True,
kyakala,China,extinct,0,5.0,0,True,
kgate,Nepal,definitely endangered,1273,2.0,1273,True,
laal,Chad,critically endangered,749,4.0,749,True,
labo,Vanuatu,vulnerable,350,1.0,350,True,
lacandn,Mexico,critically endangered,563,4.0,563,True,
lachi,Viet Nam,definitely endangered,5000,2.0,5000,True,
ladakhi,"China, India",vulnerable,105000,1.0,105000,True,
ladin,Italy,definitely endangered,30000,2.0,30000,True,
lae,Papua New Guinea,extinct,1,5.0,1,True,
laemae,China,severely endangered,15000,3.0,15000,True,
lafofa,Sudan,severely endangered,5140,3.0,5140,True,
laghu,Solomon Islands,extinct,0,5.0,0,True,
laghuu,Viet Nam,definitely endangered,500,2.0,500,True,
laha,Viet Nam,definitely endangered,500,2.0,500,True,
lai,China,definitely endangered,3000,2.0,3000,True,
laiyolo,Indonesia,definitely endangered,600,2.0,600,True,
laji,China,critically endangered,250,4.0,250,True,
lajia,China,definitely endangered,8000,2.0,8000,True,
lak,Russian Federation,vulnerable,153373,1.0,153373,True,
lake miwok,United States of America,critically endangered,3,4.0,3,True,
lakha,Bhutan,definitely endangered,8000,2.0,8000,True,
lakon,Vanuatu,vulnerable,700,1.0,700,True,
lakota,Canada,critically endangered,1000,4.0,1000,True,
lalo,China,vulnerable,400000,1.0,400000,True,
lamgang,India,critically endangered,10000,4.0,10000,True,
lamongse,India,critically endangered,400,4.0,400,True,
lamu,China,critically endangered,120,4.0,120,True,
langa,Cameroon,severely endangered,500,3.0,500,True,
langrong,India,critically endangered,1000,4.0,1000,True,
langthang tibetan,Nepal,definitely endangered,0,2.0,0,True,
languedocian,France,severely endangered,500000,3.0,500000,True,
lanoh,Malaysia,critically endangered,1800,4.0,1800,True,
laomian,China,definitely endangered,2500,2.0,2500,True,
laomian,Myanmar,definitely endangered,2500,2.0,2500,True,
lardil,Australia,critically endangered,10,4.0,10,True,
lari,Iran (Islamic Republic of),definitely endangered,80000,2.0,80000,True,
laro,Sudan,definitely endangered,40000,2.0,40000,True,
latgalian,"Latvia, Russian Federation",vulnerable,150000,1.0,150000,True,
laua,Papua New Guinea,critically endangered,1,4.0,1,True,
lauje,Indonesia,vulnerable,32000,1.0,32000,True,
lavua,Thailand,definitely endangered,15000,2.0,15000,True,
laxudumau,Papua New Guinea,vulnerable,500,1.0,500,True,
laz,"Georgia, Turkey",definitely endangered,130000,2.0,130000,True,
leco,Bolivia (Plurinational State of),critically endangered,20,4.0,20,True,
legenyem,Indonesia,vulnerable,300,1.0,300,True,
lehali,Vanuatu,vulnerable,250,1.0,250,True,
lemerig,Vanuatu,critically endangered,2,4.0,2,True,
lemolang,Indonesia,vulnerable,1800,1.0,1800,True,
lenca,"El Salvador, Honduras",extinct,0,5.0,0,True,
lengilu,Indonesia,critically endangered,4,4.0,4,True,
lengua,Paraguay,severely endangered,1000,3.0,1000,True,
lepcha,"Bhutan, India, Nepal",definitely endangered,30000,2.0,30000,True,
lezgian,"Azerbaijan, Russian Federation",vulnerable,500000,1.0,500000,True,
lhokpu,Bhutan,definitely endangered,2500,2.0,2500,True,
lhota,India,vulnerable,170000,1.0,170000,True,
lingbee,Democratic Republic of the Congo,extinct,0,5.0,0,True,
liangmai,India,vulnerable,34000,1.0,34000,True,
ligurian,"France, Italy, Monaco",definitely endangered,1000000,2.0,1000000,True,
liki,Indonesia,critically endangered,5,4.0,5,True,
likum,Papua New Guinea,definitely endangered,100,2.0,100,True,
liliali,Indonesia,extinct,0,5.0,0,True,
lillooet,Canada,severely endangered,250,3.0,250,True,
limbu,"India, Nepal",definitely endangered,300000,2.0,300000,True,
limburgianripuarian,"Germany, Belgium, Netherlands",vulnerable,2600000,1.0,2600000,True,
limirong tibetan,Nepal,definitely endangered,3000,2.0,3000,True,
limonese creole,Costa Rica,definitely endangered,55000,2.0,55000,True,
limousin,France,severely endangered,400000,3.0,400000,True,
lipan,United States of America,extinct,0,5.0,0,True,
lisela,Indonesia,vulnerable,9000,1.0,9000,True,
lishan didan,Israel,severely endangered,4000,3.0,4000,True,
lishan didan,Iran (Islamic Republic of),extinct,0,5.0,0,True,
lishana deni,Israel,severely endangered,7500,3.0,7500,True,
lishana deni,Iraq,extinct,0,5.0,0,True,
lishanid noshan,Israel,severely endangered,3000,3.0,3000,True,
lishanid noshan,Iraq,extinct,0,5.0,0,True,
lishpa,India,definitely endangered,1500,2.0,1500,True,
livonian,Latvia,critically endangered,1000,4.0,1000,True,
logol,Sudan,severely endangered,2600,3.0,2600,True,
logorik,Sudan,critically endangered,2000,4.0,2000,True,
logudorese,Italy,definitely endangered,400000,2.0,400000,True,
lohorung,Nepal,severely endangered,1207,3.0,1207,True,
loke tibetan,Nepal,definitely endangered,0,2.0,0,True,
lokono,"Guyana, Venezuela (Bolivarian Republic of)",critically endangered,1750,4.0,1750,True,
lokono,"French Guiana (France), Suriname",severely endangered,1000,3.0,1000,True,
lola,Indonesia,vulnerable,830,1.0,830,True,
lolak,Indonesia,critically endangered,50,4.0,50,True,
lom,Indonesia,critically endangered,10,4.0,10,True,
lombard,"Italy, Switzerland",definitely endangered,3500000,2.0,3500000,True,
lorediakarkar,Vanuatu,critically endangered,10,4.0,10,True,
lorkoti,Kenya,extinct,0,5.0,0,True,
lorrain,"Belgium, France",severely endangered,1000,3.0,1000,True,
loun,Indonesia,critically endangered,20,4.0,20,True,
low saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",vulnerable,4800000,1.0,4800000,True,
lower chehalis,United States of America,extinct,0,5.0,0,True,
lower mixe,Mexico,vulnerable,37000,1.0,37000,True,
lower northwestern otom,Mexico,vulnerable,6509,1.0,6509,True,
lowland chontal,Mexico,critically endangered,1060,4.0,1060,True,
lowland mazatec,Mexico,vulnerable,18389,1.0,18389,True,
lua,Thailand,definitely endangered,1000,2.0,1000,True,
lude,Russian Federation,severely endangered,3000,3.0,3000,True,
luiseo,United States of America,critically endangered,5,4.0,5,True,
lule saami,"Norway, Sweden",severely endangered,2000,3.0,2000,True,
lumun,Sudan,definitely endangered,45000,2.0,45000,True,
luri,Nigeria,critically endangered,2,4.0,2,True,
luro,India,critically endangered,2000,4.0,2000,True,
lushootseed,United States of America,critically endangered,5,4.0,5,True,
lyp,Vanuatu,vulnerable,250,1.0,250,True,
mabiri,Chad,critically endangered,3,4.0,3,True,
macaguaje,Colombia,extinct,1000,5.0,1000,True,
machiguenga,Peru,definitely endangered,11000,2.0,11000,True,
machineri,Brazil,vulnerable,937,1.0,937,True,
machineri,Bolivia (Plurinational State of),severely endangered,140,3.0,140,True,
macuna,Brazil,vulnerable,32,1.0,32,True,
macuna,Colombia,definitely endangered,1000,2.0,1000,True,
macushi,Brazil,vulnerable,15000,1.0,15000,True,
macushi,Guyana,vulnerable,7750,1.0,7750,True,
madngele,Australia,critically endangered,10,4.0,10,True,
mafea,Vanuatu,definitely endangered,70,2.0,70,True,
magar,Nepal,definitely endangered,489383,2.0,489383,True,
magori,Papua New Guinea,vulnerable,200,1.0,200,True,
mah meri,Malaysia,severely endangered,1200,3.0,1200,True,
mahasui,India,definitely endangered,496024,2.0,496024,True,
mahigi,Papua New Guinea,extinct,0,5.0,0,True,
mahongwe,Gabon,severely endangered,1000,3.0,1000,True,
maidu,United States of America,critically endangered,2,4.0,2,True,
maiya,Pakistan,vulnerable,220000,1.0,220000,True,
majera,Cameroon,critically endangered,500,4.0,500,True,
majhi,Nepal,severely endangered,24664,3.0,24664,True,
mak,China,definitely endangered,5000,2.0,5000,True,
makah,United States of America,critically endangered,12,4.0,12,True,
mako,Venezuela (Bolivarian Republic of),critically endangered,345,4.0,345,True,
makolkol,Papua New Guinea,critically endangered,7,4.0,7,True,
makua,Timor-Leste,critically endangered,50,4.0,50,True,
makurap,Brazil,severely endangered,50,3.0,50,True,
mak,Paraguay,definitely endangered,1000,2.0,1000,True,
malak malak,Australia,critically endangered,10,4.0,10,True,
malecite,"Canada, United States of America",definitely endangered,475,2.0,475,True,
maleng,Lao People's Democratic Republic,definitely endangered,4000,2.0,4000,True,
malin,Myanmar,extinct,0,5.0,0,True,
malinaltepec tlapanec,Mexico,vulnerable,29,1.0,29,True,
maliseetpassamaquoddy,United States of America,severely endangered,500,3.0,500,True,
malmariv,Vanuatu,vulnerable,150,1.0,150,True,
malto,India,definitely endangered,224926,2.0,224926,True,
mam,Guatemala,vulnerable,477717,1.0,477717,True,
mam,Mexico,severely endangered,7977,3.0,7977,True,
mambai,Chad,severely endangered,2000,3.0,2000,True,
mancagne,Senegal,vulnerable,26450,1.0,26450,True,
manchad,India,vulnerable,20000,1.0,20000,True,
manchu,China,critically endangered,10,4.0,10,True,
manchurian kirghiz,China,critically endangered,5,4.0,5,True,
manchurian lt,China,severely endangered,1000,3.0,1000,True,
manda,India,critically endangered,1000,4.0,1000,True,
mandaic,"Iran (Islamic Republic of), Iraq",critically endangered,300,4.0,300,True,
mandan,United States of America,critically endangered,10,4.0,10,True,
mandeali,India,definitely endangered,611930,2.0,611930,True,
mander,Indonesia,critically endangered,20,4.0,20,True,
mang,China,definitely endangered,2300,2.0,2300,True,
mang,Viet Nam,definitely endangered,2300,2.0,2300,True,
mangareva,French Polynesia (France),severely endangered,300,3.0,300,True,
mangarla,Australia,critically endangered,20,4.0,20,True,
mangarrayi,Australia,critically endangered,6,4.0,6,True,
mani,"Guinea, Sierra Leone",critically endangered,300,4.0,300,True,
manihiki,Cook Islands,definitely endangered,5000,2.0,5000,True,
maniq,Thailand,definitely endangered,300,2.0,300,True,
maniwaki algonquin,Canada,severely endangered,280,3.0,280,True,
manjui,"Argentina, Bolivia (Plurinational State of), Paraguay",definitely endangered,1200,2.0,1200,True,
mansim,Indonesia,critically endangered,5,4.0,5,True,
manx,United Kingdom of Great Britain and Northern Ireland,critically endangered,1000,4.0,1000,True,
mao,India,vulnerable,81000,1.0,81000,True,
maonan,China,vulnerable,30000,1.0,30000,True,
maori,New Zealand,vulnerable,70000,1.0,70000,True,
mapia,Indonesia,extinct,0,5.0,0,True,
mapuche,Chile,definitely endangered,400000,2.0,400000,True,
mapuche,Argentina,severely endangered,100000,3.0,100000,True,
mara,India,definitely endangered,22000,2.0,22000,True,
maragus,Vanuatu,extinct,0,5.0,0,True,
maram,India,vulnerable,37000,1.0,37000,True,
maremgi,Indonesia,definitely endangered,40,2.0,40,True,
mari,Papua New Guinea,severely endangered,80,3.0,80,True,
maricopa,United States of America,severely endangered,100,3.0,100,True,
maring,India,vulnerable,22000,1.0,22000,True,
maringarr,Australia,critically endangered,20,4.0,20,True,
mariupolitan greek,Ukraine,severely endangered,20000,3.0,20000,True,
marrgu,Australia,extinct,0,5.0,0,True,
marrisyefin,Australia,critically endangered,10,4.0,10,True,
marrithiyel,Australia,critically endangered,25,4.0,25,True,
martuwangka,Australia,vulnerable,2500,1.0,2500,True,
marbo,Brazil,vulnerable,1252,1.0,1252,True,
maslam,"Cameroon, Chad",severely endangered,723,3.0,723,True,
massalat,Chad,critically endangered,10,4.0,10,True,
massep,Indonesia,critically endangered,25,4.0,25,True,
matagalpa,Nicaragua,extinct,0,5.0,0,True,
matanvat,Vanuatu,critically endangered,10,4.0,10,True,
matipu,Brazil,critically endangered,10,4.0,10,True,
matlatzinca,Mexico,definitely endangered,651,2.0,651,True,
mator,Russian Federation,extinct,0,5.0,0,True,
mattole,United States of America,extinct,0,5.0,0,True,
mats,Brazil,vulnerable,322,1.0,322,True,
maung,Australia,vulnerable,200,1.0,200,True,
mawak,Papua New Guinea,critically endangered,31,4.0,31,True,
mawayana,"Brazil, Suriname",critically endangered,10,4.0,10,True,
mawayana,Guyana,critically endangered,1000,4.0,1000,True,
maw,Brazil,vulnerable,6219,1.0,6219,True,
maxakali,Brazil,vulnerable,1271,1.0,1271,True,
may,"Lao People's Democratic Republic, Viet Nam",definitely endangered,1000,2.0,1000,True,
mayo,Mexico,critically endangered,32869,4.0,32869,True,
mayoruna,Peru,vulnerable,2500,1.0,2500,True,
mayoruna,Brazil,vulnerable,1500,1.0,1500,True,
mazatln mazatec,Mexico,vulnerable,12340,1.0,12340,True,
mbara,Chad,severely endangered,1000,3.0,1000,True,
mbya guarani,Paraguay,definitely endangered,8000,2.0,8000,True,
mbya guarani,Brazil,vulnerable,6000,1.0,6000,True,
mbya guarani,"Argentina, Uruguay",severely endangered,3000,3.0,3000,True,
mebengokre,Brazil,vulnerable,7266,1.0,7266,True,
mech,India,severely endangered,1000,3.0,1000,True,
meglenoromanian,"Greece, The former Yugoslav Republic of Macedonia",severely endangered,5000,3.0,5000,True,
mehinku,Brazil,vulnerable,200,1.0,200,True,
mehri,"Oman, Yemen",definitely endangered,100000,2.0,100000,True,
meithei,India,vulnerable,1250000,1.0,1250000,True,
menik,Senegal,definitely endangered,3375,2.0,3375,True,
menominee,United States of America,critically endangered,35,4.0,35,True,
menri,Malaysia,critically endangered,1000,4.0,1000,True,
meriam mir,Australia,definitely endangered,160,2.0,160,True,
mescalerochiricahua apache,United States of America,definitely endangered,1500,2.0,1500,True,
mewahang,Nepal,severely endangered,904,3.0,904,True,
mezquital otom,Mexico,definitely endangered,88789,2.0,88789,True,
miamiillinois,United States of America,extinct,0,5.0,0,True,
michif,Canada,critically endangered,1000,4.0,1000,True,
