Language,Countries,Degree of endangerment,Number of speakers,Endangerment_Level
wakhi,"China, Pakistan, Tajikistan, Afghanistan",Definitely endangered,75000,2
wali,Sudan,Critically endangered,487,4
walloon,"Belgium, France, Luxembourg",Definitely endangered,600000,2
walmajarri,Australia,Definitely endangered,500,2
wambaya,Australia,Critically endangered,20,4
wambule,Nepal,Vulnerable,4471,1
wampis,Peru,Vulnerable,8000,1
wanai,Venezuela (Bolivarian Republic of),Critically endangered,0,4
wanano  kotiria brazil,Brazil,Vulnerable,650,1
wanano  kotiria colombia,Colombia,Definitely endangered,1000,2
wancho,India,Vulnerable,49000,1
wangaaybuwan,Australia,Critically endangered,2,4
wangkumara,Australia,Critically endangered,0,4
wanka quechua,Peru,Severely endangered,35000,3
wano,Indonesia,Definitely endangered,3500,2
waotededo,Ecuador,Vulnerable,2000,1
wapishana brazil,Brazil,Definitely endangered,4000,2
wapishana guyana,Guyana,Vulnerable,7000,1
wappo,United States of America,Extinct,0,5
warao,"Guyana, Venezuela (Bolivarian Republic of)",Definitely endangered,25000,2
warapu,Papua New Guinea,Severely endangered,300,3
wardaman,Australia,Severely endangered,24,3
warekena brazil,Brazil,Critically endangered,20,4
warekena venezuela,Venezuela (Bolivarian Republic of),Severely endangered,500,3
wari,Brazil,Definitely endangered,2721,2
wari,Indonesia,Definitely endangered,150,2
warlpiri,Australia,Vulnerable,3000,1
warnang,Sudan,Severely endangered,1100,3
warnman,Australia,Severely endangered,30,3
waru,Indonesia,Definitely endangered,300,2
warumungu,Australia,Severely endangered,50,3
washo,United States of America,Severely endangered,24,3
wauja,Brazil,Vulnerable,321,1
waunana colombia,Colombia,Vulnerable,11000,1
waunana panama,Panama,Severely endangered,6882,3
waxiang,China,Vulnerable,300000,1
wayana brazil,Brazil,Vulnerable,288,1
wayana suriname,Suriname,Vulnerable,1500,1
welsh,United Kingdom of Great Britain and Northern Ireland,Vulnerable,750000,1
west flemish,"Belgium, France, Netherlands",Safe,1500000,0
west frisian,Netherlands,Vulnerable,350000,1
west greenlandic,Greenland (Kingdom of Denmark),Vulnerable,50000,1
western abenaki canada,Canada,Critically endangered,1000,4
western abenaki united states of america,United States of America,Extinct,1000,5
western apache,United States of America,Definitely endangered,6000,2
western armenian middle east,"Iraq, Lebanon, Syrian Arab Republic",Definitely endangered,200000,2
western armenian turkey,Turkey,Definitely endangered,50000,2
western cham,Cambodia,Vulnerable,200000,1
western chocho,Mexico,Severely endangered,70,3
western mansi,Russian Federation,Extinct,0,5
western mari,Russian Federation,Severely endangered,36822,3
western mazahua,Mexico,Definitely endangered,27037,2
western mazatec,Mexico,Vulnerable,6639,1
western montagnais,Canada,Vulnerable,2980,1
western neoaramaic,Syrian Arab Republic,Definitely endangered,20000,2
western nhuatl,Mexico,Severely endangered,1041,3
western otom,Mexico,Severely endangered,415,3
western popoloc,Mexico,Severely endangered,516,3
western tarahumara,Mexico,Vulnerable,9196,1
western tlapanec,Mexico,Vulnerable,549,1
western zoque,Mexico,Vulnerable,4100,1
white gelao china,China,Severely endangered,1200,3
white gelao viet nam,Viet Nam,Severely endangered,20,3
wichi,"Argentina, Bolivia (Plurinational State of)",Vulnerable,1000,1
wichita,United States of America,Critically endangered,10,4
wik mungkan,Australia,Vulnerable,1500,1
wik ngathan,Australia,Definitely endangered,100,2
wik ngencherr,Australia,Severely endangered,30,3
winnebago nebraska,United States of America,Severely endangered,250,3
winnebago wisconsin,United States of America,Severely endangered,250,3
wintunomlaki,United States of America,Critically endangered,1,4
wiradjuri,Australia,Critically endangered,30,4
wiyot,United States of America,Extinct,0,5
woleaian,Micronesia (Federated States of),Severely endangered,1631,3
woods cree,Canada,Vulnerable,9095,1
woria,Indonesia,Critically endangered,13,4
worrorra,Australia,Critically endangered,4,4
wotapurikatarqalai,Afghanistan,Definitely endangered,2000,2
wotu,Indonesia,Vulnerable,4500,1
wunai bunu,China,Definitely endangered,8000,2
wunambal,Australia,Critically endangered,5,4
wuse,China,Vulnerable,30000,1
wutun,China,Definitely endangered,2000,2
xakriab,Brazil,Extinct,0,5
xambio,Brazil,Critically endangered,10,4
xaragure,New Caledonia (France),Vulnerable,566,1
xavante,Brazil,Vulnerable,13303,1
xerente,Brazil,Severely endangered,2569,3
xet,Brazil,Critically endangered,8,4
xinka,Guatemala,Critically endangered,1283,4
xipya,Brazil,Critically endangered,2,4
xiri,South Africa,Critically endangered,87,4
xokleng,Brazil,Critically endangered,100,4
yaaku,Kenya,Extinct,0,5
yaeyama,Japan,Severely endangered,1000,3
yaghnobi,Tajikistan,Definitely endangered,20000,2
yagua,Peru,Definitely endangered,4000,2
yahgan,Chile,Critically endangered,1,4
yakkha,Nepal,Critically endangered,14648,4
yakut,Russian Federation,Vulnerable,456288,1
yameo,Peru,Extinct,0,5
yami,China,Vulnerable,2700,1
yaminahua bolivia peru,"Bolivia (Plurinational State of), Peru",Severely endangered,400,3
yaminahua brazil,Brazil,Vulnerable,600,1
yamphu,Nepal,Definitely endangered,1722,2
yannhangu,Australia,Definitely endangered,61,2
yanesha,Peru,Severely endangered,8000,3
yangkam,Nigeria,Critically endangered,100,4
yankunytjatjara,Australia,Definitely endangered,70,2
yanomami brazil,Brazil,Vulnerable,6000,1
yanomami venezuela,Venezuela (Bolivarian Republic of),Vulnerable,4000,1
yanomm,Brazil,Vulnerable,4000,1
yanyuwa,Australia,Severely endangered,70,3
yapunda,Papua New Guinea,Severely endangered,69,3
yaqui mexico,Mexico,Vulnerable,11806,1
yaqui united states of america,United States of America,Definitely endangered,510,2
yarawata,Papua New Guinea,Severely endangered,98,3
yarawi,Papua New Guinea,Critically endangered,1,4
yasa,"Cameroon, Equatorial Guinea",Definitely endangered,2401,2
yat,Brazil,Severely endangered,1000,3
yavapai,United States of America,Severely endangered,150,3
yaw,Myanmar,Definitely endangered,20000,2
yawalapiti,Brazil,Critically endangered,10,4
yawanaw,Brazil,Vulnerable,519,1
yawarana,Venezuela (Bolivarian Republic of),Severely endangered,300,3
yazgulami,Tajikistan,Severely endangered,6000,3
yazva komi,Russian Federation,Severely endangered,1000,3
yecuana brazil,Brazil,Vulnerable,430,1
yecuana venezuela,Venezuela (Bolivarian Republic of),Vulnerable,5000,1
yem,Ethiopia,Vulnerable,81613,1
yerong,China,Severely endangered,380,3
yeyi,Botswana,Definitely endangered,20000,2
yiddish europe,"Germany, Austria, Belarus, Belgium, Denmark, Estonia, Finland, France, Hungary, Italy, Latvia, Lithuania, Luxembourg, Republic of Moldova, Norway, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Sweden, Switzerland, Czech Republic, Ukraine",Definitely endangered,1000,2
yiddish israel,Israel,Safe,3000000,0
yidgha,Pakistan,Definitely endangered,5500,2
yiiji,Australia,Critically endangered,10,4
yimas,Papua New Guinea,Severely endangered,300,3
yimchungru,India,Vulnerable,92000,1
yine,Peru,Definitely endangered,2150,2
yir yoront,Australia,Extinct,0,5
yoba,Papua New Guinea,Extinct,0,5
yoki,Indonesia,Severely endangered,40,3
yola,Ireland,Extinct,0,5
yonaguni,Japan,Severely endangered,1000,3
younuo bunu,China,Definitely endangered,4000,2
yucatec,Belize,Definitely endangered,3155,2
yuchi,United States of America,Critically endangered,5,4
yucuna,Colombia,Definitely endangered,1000,2
yudja,Brazil,Vulnerable,362,1
yug,Russian Federation,Extinct,0,5
yuhup brazil,Brazil,Vulnerable,617,1
yuhup colombia,Colombia,Definitely endangered,550,2
yuki,Bolivia (Plurinational State of),Severely endangered,125,3
yuki,United States of America,Extinct,0,5
yukpa,Venezuela (Bolivarian Republic of),Vulnerable,3000,1
yulu,"Central African Republic, Democratic Republic of the Congo, Sudan",Vulnerable,7000,1
yuracar,Bolivia (Plurinational State of),Definitely endangered,2675,2
yurats,Russian Federation,Extinct,0,5
yurok,United States of America,Critically endangered,12,4
yurt tatar,Russian Federation,Definitely endangered,12000,2
yurut brazil,Brazil,Extinct,0,5
yurut colombia,Colombia,Definitely endangered,1000,2
zaiwa,"China, India",Definitely endangered,1000,2
zangskari,"India, Pakistan",Definitely endangered,1000,2
zaozou,China,Vulnerable,2100,1
zaparo,"Ecuador, Peru",Critically endangered,9,4
zapotec of asuncin tlacolulita,Mexico,Critically endangered,53,4
zapotec of mixtepe,Mexico,Critically endangered,14,4
zapotec of petapa,Mexico,Definitely endangered,4613,2
zapotec of san antonino el alto,Mexico,Definitely endangered,504,2
zapotec of san bartolo yautepec,Mexico,Severely endangered,246,3
zapotec of san felipe tejalapan,Mexico,Critically endangered,50,4
zapotec of zimatln de lvarez,Mexico,Definitely endangered,562,2
zapotec of the southern mountains eastern lowlands,Mexico,Definitely endangered,420,2
zapotec of the southern mountains northeast,Mexico,Definitely endangered,849,2
zapotec of the southern mountains northwest lowlands,Mexico,Definitely endangered,164,2
zapotec of the valleys north,Mexico,Severely endangered,1303,3
zapotec of the valleys central,Mexico,Severely endangered,257,3
zapotec of the valleys middle northwest,Mexico,Definitely endangered,20448,2
zapotec of the valleys west,Mexico,Definitely endangered,211,2
zaramo,United Republic of Tanzania,Definitely endangered,50000,2
zay,Ethiopia,Severely endangered,1000,3
zazaki,Turkey,Safe,2000000,0
zazao,Solomon Islands,Critically endangered,166,4
zeem,Nigeria,Extinct,0,5
zeme,India,Vulnerable,34000,1
zenaga mauritania,Mauritania,Severely endangered,4000,3
zenaga western sahara,Western Sahara,Critically endangered,1000,4
zenatiya,Algeria,Critically endangered,50000,4
zhaba,China,Vulnerable,7000,1
zidgali,Oman,Critically endangered,1000,4
zirenkel,Chad,Definitely endangered,2500,2
zo,Brazil,Vulnerable,177,1
zor,Brazil,Vulnerable,464,1
zumaya,Cameroon,Critically endangered,25,4
zuni,United States of America,Vulnerable,9000,1
auni,South Africa,Extinct,0,5
gui,Botswana,Vulnerable,1000,1
xaise,Botswana,Critically endangered,200,4
xam,South Africa,Extinct,0,5
mrillon,French Guiana (France),Severely endangered,400,3
andeva guarani,Brazil,Vulnerable,10000,1
ani,Botswana,Definitely endangered,1000,2
gana,Botswana,Vulnerable,1550,1
ku e,South Africa,Extinct,0,5
kxau,South Africa,Extinct,0,5
xegwi,South Africa,Extinct,0,5
hoa,Botswana,Critically endangered,140,4
amharic,Ethiopia,Safe,60000000,0
arabic,Many,Safe,435000000,0
bengali,Bangladesh,Safe,278000000,0
bhojpuri,India,Safe,53000000,0
chinese,China,Safe,1361000000,0
english,Many,Safe,1515000000,0
french,Many,Safe,312000000,0
german,Many,Safe,134000000,0
gujarati,India,Safe,63000000,0
hausa,Many,Safe,88000000,0
hindi,India,Safe,609000000,0
indonesian,indonesia,Safe,199000000,0
iranian,iran,Safe,78000000,0
italian,italy,Safe,67000000,0
japanese,japan,Safe,123000000,0
javanese,indonesia,Safe,68000000,0
kannada,India,Safe,59000000,0
korean,korea,Safe,81000000,0
marathi,India,Safe,99000000,0
nigerian,nigeria,Safe,121000000,0
portuguese,Many,Safe,264000000,0
punjabi,India,Safe,82000000,0
russian,Russia,Safe,255000000,0
spanish,Many,Safe,560000000,0
swahili,Many,Safe,87000000,0
tagalogb,Philippines,Safe,83000000,0
tamil,Sri Lanka,Safe,87000000,0
telugu,telugu,Safe,96000000,0
thai,Thailand,Safe,61000000,0
turkish,turkey,Safe,90000000,0
urdu,Pakistan,Safe,238000000,0
vietnamese,vietnam,Safe,86000000,0
