Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level
Budibud,Papua New Guinea,vulnerable,120,1
Capanahua,Peru,severely endangered,120,3
Dâw,Brazil,vulnerable,120,1
Ili Turk,China,severely endangered,120,3
Lamu,China,critically endangered,120,4
Obokuitai,Indonesia,vulnerable,120,1
Polonomombauk,Vanuatu,definitely endangered,120,2
Samre,Cambodia,critically endangered,120,4
Tutuba,Vanuatu,definitely endangered,120,2
Northern Tutchone,Canada,definitely endangered,115,2
Dubu,Indonesia,vulnerable,110,1
Haisla,Canada,critically endangered,110,4
Heiltsuk,Canada,critically endangered,105,4
Kwegu,Ethiopia,critically endangered,103,4
Adnyamathanha,Australia,definitely endangered,100,2
Ainbai,Papua New Guinea,severely endangered,100,3
Arem,"Lao People's Democratic Republic, Viet Nam",severely endangered,100,3
Banawá Yafi,Brazil,vulnerable,100,1
Bara,Colombia,critically endangered,100,4
Bikaru,Papua New Guinea,severely endangered,100,3
Boor,Chad,critically endangered,100,4
Burate,Indonesia,severely endangered,100,3
Callahuaya,Bolivia (Plurinational State of),critically endangered,100,4
Comanche,United States of America,severely endangered,100,3
Dabra,Indonesia,vulnerable,100,1
Djinang,Australia,definitely endangered,100,2
Dulbu,Nigeria,critically endangered,100,4
Ghomara,Morocco,critically endangered,100,4
Itelmen,Russian Federation,critically endangered,100,4
Jebero,Peru,critically endangered,100,4
Jilbe,Nigeria,critically endangered,100,4
Kalamo,Papua New Guinea,severely endangered,100,3
Kanowit,Malaysia,severely endangered,100,3
Karas,Indonesia,severely endangered,100,3
Kiong,Nigeria,critically endangered,100,4
Kofei,Indonesia,severely endangered,100,3
Likum,Papua New Guinea,definitely endangered,100,2
Maricopa,United States of America,severely endangered,100,3
Mohave,United States of America,severely endangered,100,3
Mohave,United States of America,severely endangered,100,3
Molo,Sudan,critically endangered,100,4
Mulao,China,severely endangered,100,3
Mvanip,Nigeria,critically endangered,100,4
Nafi,Papua New Guinea,severely endangered,100,3
Nemadi,Mauritania,critically endangered,100,4
Ninam,Venezuela (Bolivarian Republic of),vulnerable,100,1
Omagua,Peru,critically endangered,100,4
Oroch,Russian Federation,critically endangered,100,4
Oroha,Solomon Islands,severely endangered,100,3
Pauwi,Indonesia,vulnerable,100,1
Piame,Papua New Guinea,severely endangered,100,3
Pyu,Indonesia,severely endangered,100,3
Ruga,India,critically endangered,100,4
Sahaptin,United States of America,severely endangered,100,3
Samatao,China,critically endangered,100,4
Seneca,United States of America,severely endangered,100,3
Senggi,Indonesia,vulnerable,100,1
Shawnee,United States of America,severely endangered,100,3
Shiwiar,Ecuador,severely endangered,100,3
Shompen,India,critically endangered,100,4
Soo,Uganda,critically endangered,100,4
Tai Nora,India,critically endangered,100,4
Tai Rong,India,critically endangered,100,4
Tangam,India,critically endangered,100,4
Tariana,Brazil,critically endangered,100,4
Tirahi,Afghanistan,critically endangered,100,4
Ute,United States of America,severely endangered,100,3
Vehes,Papua New Guinea,severely endangered,100,3
Wik Ngathan,Australia,definitely endangered,100,2
Xokleng,Brazil,critically endangered,100,4
Yangkam,Nigeria,critically endangered,100,4
Yarawata,Papua New Guinea,severely endangered,98,3
O'odham,Mexico,definitely endangered,94,2
Samosa,Papua New Guinea,severely endangered,94,3
Mindiri,Papua New Guinea,severely endangered,93,3
Usu,Papua New Guinea,severely endangered,93,3
Iteri,Papua New Guinea,severely endangered,90,3
Ngarinyin,Australia,definitely endangered,90,2
Repanbitip,Vanuatu,definitely endangered,90,2
Tofanma,Indonesia,vulnerable,90,1
Taiap,Papua New Guinea,severely endangered,89,3
Kusunda,Nepal,critically endangered,87,4
Patamona,Brazil,vulnerable,87,1
Xiri,South Africa,critically endangered,87,4
Narau,Indonesia,severely endangered,85,3
Ak,Papua New Guinea,severely endangered,83,3
Araona,Bolivia (Plurinational State of),severely endangered,81,3
Ari,Papua New Guinea,severely endangered,80,3
Assiniboine,Canada,critically endangered,80,4
Dorro,Papua New Guinea,severely endangered,80,3
Gong,Thailand,severely endangered,80,3
Itik,Indonesia,vulnerable,80,1
Mari,Papua New Guinea,severely endangered,80,3
Pwapwa,New Caledonia (France),severely endangered,80,3
Somm,Papua New Guinea,definitely endangered,80,2
Tobati,Indonesia,severely endangered,80,3
Moré,Bolivia (Plurinational State of),critically endangered,76,4
Mores,Vanuatu,severely endangered,75,3
Musan,Papua New Guinea,severely endangered,75,3
Papi,Papua New Guinea,severely endangered,75,3
Sarcee,Canada,critically endangered,75,4
Sekani,Canada,critically endangered,75,4
Arawun,Papua New Guinea,severely endangered,73,3
Siriano,Brazil,vulnerable,71,1
Teko,Mexico,severely endangered,71,3
Anus,Indonesia,severely endangered,70,3
Awera,Indonesia,vulnerable,70,1
Boruca,Costa Rica,critically endangered,70,4
Doutai,Indonesia,severely endangered,70,3
East Cape Yupik,Russian Federation,critically endangered,70,4
Iresim,Indonesia,severely endangered,70,3
Mafea,Vanuatu,definitely endangered,70,2
Vilamovian,Poland,severely endangered,70,3
Western Chocho,Mexico,severely endangered,70,3
Yankunytjatjara,Australia,definitely endangered,70,2
Yanyuwa,Australia,severely endangered,70,3
Yapunda,Papua New Guinea,severely endangered,69,3
Bothar,Papua New Guinea,severely endangered,68,3
Kari'ña,Brazil,definitely endangered,66,2
Ritharrngu,Australia,definitely endangered,66,2
Northern Straits Salish,United States of America,critically endangered,65,4
Sumariup,Papua New Guinea,severely endangered,65,3
Ixil,Mexico,critically endangered,64,4
Orok,Russian Federation,critically endangered,64,4
Carapana,Brazil,severely endangered,63,3
Yan-nhangu,Australia,definitely endangered,61,2
Atemble,Papua New Guinea,definitely endangered,60,2
Bagupi,Papua New Guinea,definitely endangered,60,2
Carapana,Colombia,definitely endangered,60,2
Gooniyandi,Australia,severely endangered,60,3
Gurrgoni,Australia,vulnerable,60,1
Kija,Australia,severely endangered,60,3
Montana Salish,United States of America,critically endangered,60,4
Ngangikurunggurr,Australia,severely endangered,60,3
Olultecan,Mexico,severely endangered,60,3
Senaya,Iran (Islamic Republic of),critically endangered,60,4
Tahltan,Canada,critically endangered,60,4
Tembé,Brazil,severely endangered,60,3
Mosimo,Papua New Guinea,severely endangered,58,3
Tapayuna,Brazil,severely endangered,58,3
Bepour,Papua New Guinea,severely endangered,57,3
Faita,Papua New Guinea,severely endangered,57,3
Teribe,Costa Rica,critically endangered,57,4
Kiliwa,Mexico,critically endangered,56,4
Moere,Papua New Guinea,severely endangered,56,3
Baure,Bolivia (Plurinational State of),critically endangered,55,4
Southern Haida,Canada,critically endangered,55,4
Tlingit,Canada,critically endangered,55,4
Upper Tanana,United States of America,critically endangered,55,4
Zapotec of Asunción Tlacolulita,Mexico,critically endangered,53,4
Trumai,Brazil,critically endangered,51,4
Arabela,Peru,severely endangered,50,3
Arha,New Caledonia (France),critically endangered,50,4
Banjima,Australia,severely endangered,50,3
Bella Coola,Canada,critically endangered,50,4
Budong-Budong,Indonesia,critically endangered,50,4
Bulgebi,Papua New Guinea,definitely endangered,50,2
Chiquitano,Brazil,critically endangered,50,4
Forest Yukagir,Russian Federation,critically endangered,50,4
Gorovu,Papua New Guinea,severely endangered,50,3
Iduh,Lao People's Democratic Republic,critically endangered,50,4
Karaim,Lithuania,severely endangered,50,3
Kasong,"Cambodia, Thailand",critically endangered,50,4
Kayupulau,Indonesia,critically endangered,50,4
Lolak,Indonesia,critically endangered,50,4
Maku'a,Timor-Leste,critically endangered,50,4
Makurap,Brazil,severely endangered,50,3
Miriwoong,Australia,critically endangered,50,4
Moraori,Indonesia,severely endangered,50,3
Nakkara,Australia,severely endangered,50,3
Ngarinman,Australia,severely endangered,50,3
Norfolk-Pitcairn,Pitcairn  (U.K.),vulnerable,50,1
Omaha-Ponca,United States of America,critically endangered,50,4
Omotik,Kenya,critically endangered,50,4
Onge,India,critically endangered,50,4
Patua,China,critically endangered,50,4
Paulohi,Indonesia,critically endangered,50,4
Potawatomi,United States of America,critically endangered,50,4
Potawatomi,United States of America,critically endangered,50,4
Potawatomi,United States of America,critically endangered,50,4
Potawatomi,United States of America,critically endangered,50,4
Salas,Indonesia,severely endangered,50,3
Samray,"Cambodia, Thailand",critically endangered,50,4
Sapé,Venezuela (Bolivarian Republic of),critically endangered,50,4
Sentilese,India,critically endangered,50,4
Sian,Malaysia,severely endangered,50,3
Tambotalo,Vanuatu,severely endangered,50,3
Tanacross,United States of America,critically endangered,50,4
Tanaina,United States of America,severely endangered,50,3
Tanimbili,Solomon Islands,severely endangered,50,3
Warumungu,Australia,severely endangered,50,3
Zapotec of San Felipe Tejalapan,Mexico,critically endangered,50,4
Tench,Papua New Guinea,critically endangered,49,4
Mudburra,Australia,severely endangered,48,3
Nunggubuyu,Australia,severely endangered,44,3
Dumun,Papua New Guinea,critically endangered,42,4
Kudu-Camo,Nigeria,critically endangered,42,4
Asumboa,Solomon Islands,severely endangered,40,3
Bunuba,Australia,severely endangered,40,3
Chamacoco,"Brazil, Paraguay",critically endangered,40,4
Garrwa,Australia,severely endangered,40,3
Gumbaynggirr,Australia,critically endangered,40,4
Maremgi,Indonesia,definitely endangered,40,2
Mono,United States of America,critically endangered,40,4
Southern Tutchone,Canada,critically endangered,40,4
Tipai,United States of America,severely endangered,40,3
Tofa,Russian Federation,critically endangered,40,4
Udege,Russian Federation,critically endangered,40,4
Yoki,Indonesia,severely endangered,40,3
Noy,Chad,critically endangered,36,4
Chulym Turk,Russian Federation,critically endangered,35,4
Kapori,Indonesia,critically endangered,35,4
Kaqchikel,Mexico,critically endangered,35,4
Menominee,United States of America,critically endangered,35,4
Quechua of Pacaraos,Peru,critically endangered,35,4
Turaka,Papua New Guinea,critically endangered,35,4
Barasana,Brazil,severely endangered,34,3
Bilakura,Papua New Guinea,critically endangered,34,4
Macuna,Brazil,vulnerable,32,1
Jarawa,India,critically endangered,31,4
Kowaki,Papua New Guinea,critically endangered,31,4
Kri,Lao People's Democratic Republic,severely endangered,31,3
Mawak,Papua New Guinea,critically endangered,31,4
Alabat Island Agta,Philippines,critically endangered,30,4
Amahai,Indonesia,critically endangered,30,4
Bardi,Australia,severely endangered,30,3
Cahuilla,United States of America,critically endangered,30,4
Cambap,Cameroon,critically endangered,30,4
Carijona,Colombia,critically endangered,30,4
Chintaw,China,critically endangered,30,4
Comox/Sliammon,Canada,critically endangered,30,4
Djeoromitxi,Brazil,severely endangered,30,3
Duriankere,Indonesia,critically endangered,30,4
Goundo,Chad,critically endangered,30,4
Kawucha,Papua New Guinea,critically endangered,30,4
Kwerisa,Indonesia,critically endangered,30,4
Mono,United States of America,critically endangered,30,4
Ngalkbun,Australia,severely endangered,30,3
Punan Batu,Malaysia,critically endangered,30,4
Rama,Nicaragua,critically endangered,30,4
Sia Pedee,Ecuador,critically endangered,30,4
Ske,Vanuatu,severely endangered,30,3
Valley Yokuts,United States of America,severely endangered,30,3
Warnman,Australia,severely endangered,30,3
Wik Ngencherr,Australia,severely endangered,30,3
Wiradjuri,Australia,critically endangered,30,4
Malinaltepec Tlapanec,Mexico,vulnerable,29,1
Ahtna,United States of America,critically endangered,25,4
Bieria,Vanuatu,critically endangered,25,4
Caddo,United States of America,critically endangered,25,4
Columbian,United States of America,critically endangered,25,4
Iquito,Peru,critically endangered,25,4
Kwazá,Brazil,critically endangered,25,4
Marrithiyel,Australia,critically endangered,25,4
Massep,Indonesia,critically endangered,25,4
Mor,Indonesia,severely endangered,25,3
Pisamira,Colombia,critically endangered,25,4
Sakurabiat,Brazil,severely endangered,25,3
Surel,Nepal,critically endangered,25,4
Upper Kuskokwim,United States of America,critically endangered,25,4
Zumaya,Cameroon,critically endangered,25,4
Kashaya,United States of America,critically endangered,24,4
Kavalan,China,critically endangered,24,4
Wardaman,Australia,severely endangered,24,3
Washo,United States of America,severely endangered,24,3
Kuku Yalanji,Australia,severely endangered,23,3
Sām,Nepal,severely endangered,23,3
Southwestern Tlapanec,Mexico,vulnerable,23,1
Alawa,Australia,critically endangered,22,4
Tobian,Palau,critically endangered,22,4
Bara,Brazil,vulnerable,21,1
Ixcatec,Mexico,critically endangered,21,4
Añu,Venezuela (Bolivarian Republic of),critically endangered,20,4
Barzani Jewish Neo-Aramaic,Israel,critically endangered,20,4
Bom,Sierra Leone,severely endangered,20,3
Bundjalung,Australia,severely endangered,20,3
Chung,Cambodia,critically endangered,20,4
Dusner,Indonesia,critically endangered,20,4
Forest Enets,Russian Federation,critically endangered,20,4
Foya,Indonesia,critically endangered,20,4
Hermit,Papua New Guinea,critically endangered,20,4
Jawoyn,Australia,severely endangered,20,3
Kamasa,Papua New Guinea,critically endangered,20,4
Kanakanabu,China,critically endangered,20,4
Kembra,Indonesia,critically endangered,20,4
Kilen,"China, Russian Federation",critically endangered,20,4
Kim,Sierra Leone,critically endangered,20,4
Koko Bera,Australia,severely endangered,20,3
Kulina Páno,Brazil,severely endangered,20,3
Leco,Bolivia (Plurinational State of),critically endangered,20,4
Loun,Indonesia,critically endangered,20,4
Mander,Indonesia,critically endangered,20,4
Mangarla,Australia,critically endangered,20,4
Maringarr,Australia,critically endangered,20,4
Nataoran,China,critically endangered,20,4
Nez Perce,United States of America,critically endangered,20,4
Nisvai,Vanuatu,critically endangered,20,4
Nyamal,Australia,severely endangered,20,3
Nyikina,Australia,severely endangered,20,3
Panamint,United States of America,critically endangered,20,4
Pite Saami,"Norway, Sweden",critically endangered,20,4
Qawasqar,Chile,critically endangered,20,4
Red Gelao,Viet Nam,critically endangered,20,4
Somyev,"Cameroon, Nigeria",critically endangered,20,4
Ume Saami,Sweden,critically endangered,20,4
Usku,Indonesia,critically endangered,20,4
Vote,Russian Federation,critically endangered,20,4
Wajarri,Australia,severely endangered,20,3
Wambaya,Australia,critically endangered,20,4
Warekena,Brazil,critically endangered,20,4
White Gelao,Viet Nam,severely endangered,20,3
Mixtec of Tlaltempan,Mexico,definitely endangered,19,2
Uruak,Venezuela (Bolivarian Republic of),critically endangered,19,4
Pacahuara,Bolivia (Plurinational State of),critically endangered,18,4
Ririo,Solomon Islands,critically endangered,18,4
Ava-Canoeiro,Brazil,critically endangered,16,4
Chorotega,Costa Rica,critically endangered,16,4
Ainu,Japan,critically endangered,15,4
Jaminjung,Australia,severely endangered,15,3
Mwesen,Vanuatu,critically endangered,15,4
Sechelt,Canada,critically endangered,15,4
Tanana,United States of America,critically endangered,15,4
Ingalik,United States of America,critically endangered,14,4
Jingulu,Australia,severely endangered,14,3
Zapotec of Mixtepe,Mexico,critically endangered,14,4
Woria,Indonesia,critically endangered,13,4
Aruá,Brazil,severely endangered,12,3
Han,United States of America,critically endangered,12,4
Hupa,United States of America,critically endangered,12,4
Karuk,United States of America,severely endangered,12,3
Makah,United States of America,critically endangered,12,4
Ngaatjatjara,Australia,severely endangered,12,3
Ngaliwuru,Australia,critically endangered,12,4
Ofayé,Brazil,critically endangered,12,4
Umpila,Australia,severely endangered,12,3
Yurok,United States of America,critically endangered,12,4
Kinikinau,Brazil,critically endangered,11,4
Wagiman,Australia,severely endangered,11,3
Achumawi,United States of America,critically endangered,10,4
Arho,New Caledonia (France),critically endangered,10,4
Arikara,United States of America,critically endangered,10,4
Ayizi,China,critically endangered,10,4
Bangsa,Vanuatu,critically endangered,10,4
Ch'orti',Honduras,critically endangered,10,4
Chung,Thailand,critically endangered,10,4
Copper Island Aleut,Russian Federation,critically endangered,10,4
Gros Ventre,United States of America,critically endangered,10,4
Gweno,United Republic of Tanzania,critically endangered,10,4
Hoti,Indonesia,critically endangered,10,4
Hulung,Indonesia,critically endangered,10,4
Ibu,Indonesia,critically endangered,10,4
Iranxe,Brazil,critically endangered,10,4
Kamarian,Indonesia,critically endangered,10,4
Karajarri,Australia,critically endangered,10,4
Karipuna,Brazil,definitely endangered,10,2
Katawixi,Brazil,critically endangered,10,4
Kawaiisu,United States of America,critically endangered,10,4
Khövsgöl Uryangkhay,Mongolia,critically endangered,10,4
Krenak,Brazil,critically endangered,10,4
Kurrama,Australia,critically endangered,10,4
Lardil,Australia,critically endangered,10,4
Lom,Indonesia,critically endangered,10,4
Lorediakarkar,Vanuatu,critically endangered,10,4
Madngele,Australia,critically endangered,10,4
Malak Malak,Australia,critically endangered,10,4
Manchu,China,critically endangered,10,4
Manchu,China,critically endangered,10,4
Mandan,United States of America,critically endangered,10,4
Marrisyefin,Australia,critically endangered,10,4
Massalat,Chad,critically endangered,10,4
Matanvat,Vanuatu,critically endangered,10,4
Matipu,Brazil,critically endangered,10,4
Mawayana,"Brazil, Suriname",critically endangered,10,4
Munsee,Canada,critically endangered,10,4
Naati,Vanuatu,critically endangered,10,4
Ngardi,Australia,critically endangered,10,4
Ngbinda,Democratic Republic of the Congo,critically endangered,10,4
Northern Paiute,United States of America,critically endangered,10,4
Nusa Laut,Indonesia,critically endangered,10,4
Oneida,United States of America,critically endangered,10,4
Onondaga,United States of America,critically endangered,10,4
Osage,United States of America,critically endangered,10,4
Parintintin,Brazil,critically endangered,10,4
Pawnee,United States of America,critically endangered,10,4
Puari,Papua New Guinea,critically endangered,10,4
Rembarrnga,Australia,critically endangered,10,4
Sene,Papua New Guinea,critically endangered,10,4
Sowa,Vanuatu,critically endangered,10,4
Susuami,Papua New Guinea,critically endangered,10,4
Taap,Papua New Guinea,critically endangered,10,4
Tape,Vanuatu,critically endangered,10,4
Ter Saami,Russian Federation,critically endangered,10,4
Thao,China,critically endangered,10,4
Tule-Kaweah Yokuts,United States of America,critically endangered,10,4
Tundra Enets,Russian Federation,critically endangered,10,4
Wichita,United States of America,critically endangered,10,4
Xambioá,Brazil,critically endangered,10,4
Yawalapiti,Brazil,critically endangered,10,4
Yiiji,Australia,critically endangered,10,4
Arára Shawãdáwa,Brazil,critically endangered,9,4
Kuuku Ya'u,Australia,critically endangered,9,4
Ngandi,Australia,critically endangered,9,4
Ngarluma,Australia,critically endangered,9,4
Zaparo,"Ecuador, Peru",critically endangered,9,4
Ongota,Ethiopia,critically endangered,8,4
Ajuru,Brazil,severely endangered,8,3
Araki,Vanuatu,critically endangered,8,4
Ayapanec,Mexico,critically endangered,8,4
Busuu,Cameroon,critically endangered,8,4
Chamicuro,Peru,critically endangered,8,4
Dumi,Nepal,critically endangered,8,4
Kayardild,Australia,critically endangered,8,4
Munichi,Peru,critically endangered,8,4
N|uu,South Africa,critically endangered,8,4
Xetá,Brazil,critically endangered,8,4
Kiksht,United States of America,critically endangered,7,4
Makolkol,Papua New Guinea,critically endangered,7,4
Akuntsu,Brazil,critically endangered,6,4
Anambé,Brazil,critically endangered,6,4
Arabana,Australia,critically endangered,6,4
Ipai,United States of America,critically endangered,6,4
Karaim,Ukraine,critically endangered,6,4
Kings River Yokuts,United States of America,critically endangered,6,4
Korana,South Africa,critically endangered,6,4
Mangarrayi,Australia,critically endangered,6,4
Northern Sierra Miwok,United States of America,critically endangered,6,4
Abaga,Papua New Guinea,critically endangered,5,4
Aleut,Russian Federation,critically endangered,5,4
Aqaw Gelao,China,critically endangered,5,4
Aveteian,Vanuatu,critically endangered,5,4
Central Selkup,Russian Federation,critically endangered,5,4
Cocama-Cocamilla,Brazil,critically endangered,5,4
Dyirbal,Australia,critically endangered,5,4
Gamilaraay,Australia,critically endangered,5,4
Great andamanese,India,critically endangered,5,4
Guató,Brazil,critically endangered,5,4
Holikachuk,United States of America,critically endangered,5,4
Iduh,Viet Nam,critically endangered,5,4
Isarog Agta,Philippines,critically endangered,5,4
Itonama,Bolivia (Plurinational State of),critically endangered,5,4
Juma,Brazil,critically endangered,5,4
Kalispel,United States of America,critically endangered,5,4
Kanoê,Brazil,critically endangered,5,4
Liki,Indonesia,critically endangered,5,4
Luiseño,United States of America,critically endangered,5,4
Lushootseed,United States of America,critically endangered,5,4
Manchurian Kirghiz,China,critically endangered,5,4
Mansim,Indonesia,critically endangered,5,4
Naman,Vanuatu,critically endangered,5,4
Nasarian,Vanuatu,critically endangered,5,4
Navwien,Vanuatu,critically endangered,5,4
Ndai,Cameroon,critically endangered,5,4
Ngalakan,Australia,critically endangered,5,4
Nivat,Vanuatu,critically endangered,5,4
Niviar,Vanuatu,critically endangered,5,4
Olrat,Vanuatu,critically endangered,5,4
Oro Win,Brazil,critically endangered,5,4
Paunaca,Bolivia (Plurinational State of),critically endangered,5,4
Resígaro,Peru,critically endangered,5,4
Sorsorian,Vanuatu,critically endangered,5,4
Southern Selkup,Russian Federation,critically endangered,5,4
Tuzantec,Mexico,critically endangered,5,4
Umbrul,Vanuatu,critically endangered,5,4
Vano,Solomon Islands,critically endangered,5,4
Wunambal,Australia,critically endangered,5,4
Yuchi,United States of America,critically endangered,5,4
Bonerif,Indonesia,critically endangered,4,4
Coeur d'Alene,United States of America,critically endangered,4,4
Dharawal,Australia,critically endangered,4,4
Guranalum,Papua New Guinea,critically endangered,4,4
Lengilu,Indonesia,critically endangered,4,4
Njerep,Cameroon,critically endangered,4,4
Ouma,Papua New Guinea,critically endangered,4,4
Paakantyi,Australia,critically endangered,4,4
Saponi,Indonesia,critically endangered,4,4
Tanema,Solomon Islands,critically endangered,4,4
Tehuelche,Argentina,critically endangered,4,4
Totoró,Colombia,critically endangered,4,4
Waanyi,Australia,critically endangered,4,4
Worrorra,Australia,critically endangered,4,4
Awakatek,Mexico,critically endangered,3,4
Baldemu,Cameroon,critically endangered,3,4
Bung,Cameroon,critically endangered,3,4
Canichana,Bolivia (Plurinational State of),extinct,3,5
Central Pomo,United States of America,critically endangered,3,4
Central Sierra Miwok,United States of America,critically endangered,3,4
Chemehuevi,United States of America,critically endangered,3,4
Kiowa Apache,United States of America,critically endangered,3,4
Konkow,United States of America,critically endangered,3,4
Lake Miwok,United States of America,critically endangered,3,4
Mabiri,Chad,critically endangered,3,4
Mescalero-Chiricahua Apache,United States of America,critically endangered,3,4
Northern Pomo,United States of America,critically endangered,3,4
Sabanê,Brazil,critically endangered,3,4
Southern Pomo,United States of America,critically endangered,3,4
Southern Sierra Miwok,United States of America,critically endangered,3,4
Tubatulabal,United States of America,critically endangered,3,4
Tuscarora,United States of America,critically endangered,3,4
Ura,Vanuatu,critically endangered,3,4
Andoa,Peru,critically endangered,2,4
Arikapu,Brazil,critically endangered,2,4
Aurê-Aurá,Brazil,critically endangered,2,4
Baré,Brazil,critically endangered,2,4
Cayuvava,Bolivia (Plurinational State of),critically endangered,2,4
Gajerrong,Australia,critically endangered,2,4
Ganggalidda,Australia,critically endangered,2,4
Guarasu,Brazil,critically endangered,2,4
Klallam,United States of America,critically endangered,2,4
Kujubim,Brazil,critically endangered,2,4
Kunjen,Australia,critically endangered,2,4
Kuruáya,Brazil,critically endangered,2,4
Lemerig,Vanuatu,critically endangered,2,4
Luri,Nigeria,critically endangered,2,4
Maidu,United States of America,critically endangered,2,4
Oneida,United States of America,critically endangered,2,4
Poyanawa,Brazil,critically endangered,2,4
Puruborá,Brazil,critically endangered,2,4
Salamãy,Brazil,critically endangered,2,4
Sambe,Nigeria,critically endangered,2,4
Spokane,United States of America,critically endangered,2,4
Tharkarri,Australia,critically endangered,2,4
Vacacocha,Peru,critically endangered,2,4
Wangaaybuwan,Australia,critically endangered,2,4
Xipáya,Brazil,critically endangered,2,4
Apiaká,Brazil,critically endangered,1,4
Bikya,Cameroon,critically endangered,1,4
Bishuo,Cameroon,critically endangered,1,4
Chaná,Argentina,critically endangered,1,4
Dampel,Indonesia,critically endangered,1,4
Diahói,Brazil,critically endangered,1,4
Kaixána,Brazil,critically endangered,1,4
Lae,Papua New Guinea,extinct,1,5
Laua,Papua New Guinea,critically endangered,1,4
Patwin,United States of America,critically endangered,1,4
Pazeh,China,critically endangered,1,4
Pémono,Venezuela (Bolivarian Republic of),critically endangered,1,4
Taushiro,Peru,critically endangered,1,4
Tinigua,Colombia,critically endangered,1,4
Tolowa,United States of America,critically endangered,1,4
Uru,Bolivia (Plurinational State of),extinct,1,5
Volow,Vanuatu,critically endangered,1,4
Wintu-Nomlaki,United States of America,critically endangered,1,4
Yahgan,Chile,critically endangered,1,4
Yarawi,Papua New Guinea,critically endangered,1,4
!Gan!ne,South Africa,extinct,0,5
Aasax,United Republic of Tanzania,extinct,0,5
Ahom,India,extinct,0,5
Ainu,Russian Federation,extinct,0,5
Ainu,Russian Federation,extinct,0,5
Akkala Saami,Russian Federation,extinct,0,5
Alderney French,United Kingdom of Great Britain and Northern Ireland,extinct,0,5
Amanayé,Brazil,extinct,0,5
Andoa,Ecuador,extinct,0,5
Andro,India,extinct,0,5
Antoniano,United States of America,extinct,0,5
Aore,Vanuatu,extinct,0,5
Apolista,Bolivia (Plurinational State of),extinct,0,5
Arapaho,United States of America,extinct,0,5
Arapáso,Brazil,extinct,0,5
Aribwatsa,Papua New Guinea,extinct,0,5
Arin,Russian Federation,extinct,0,5
Arman,Russian Federation,extinct,0,5
Arta,Philippines,extinct,0,5
Atacameño,"Argentina, Bolivia (Plurinational State of), Chile",extinct,0,5
Atsugewi,United States of America,extinct,0,5
Babuza,China,extinct,0,5
Badala,Australia,critically endangered,0,4
Baga Kalem,Guinea,extinct,0,5
Baga Mboteni,Guinea,critically endangered,0,4
Barbareño,United States of America,extinct,0,5
Barzani Jewish Neo-Aramaic,Iraq,extinct,0,5
Basay,China,extinct,0,5
Baygo,Sudan,extinct,0,5
Berakou,Chad,extinct,0,5
Berti,Sudan,extinct,0,5
Bina,Papua New Guinea,extinct,0,5
Birgid,Sudan,extinct,0,5
Boro,"Ethiopia, Togo",extinct,0,5
Cacaopera,Nicaragua,extinct,0,5
Cape Khoekhoe,South Africa,extinct,0,5
Cappadocian Greek,Turkey,extinct,0,5
Catawba,United States of America,extinct,0,5
Cayuga,United States of America,extinct,0,5
Cayuse,United States of America,extinct,0,5
Central Kalapuyan,United States of America,extinct,0,5
Chairel,India,extinct,0,5
Cholon,Peru,extinct,0,5
Coptic,Egypt,extinct,0,5
Cowlitz,United States of America,extinct,0,5
Culle,Peru,extinct,0,5
Cuman,Hungary,extinct,0,5
Cupeño,United States of America,extinct,0,5
Dalmatian,Croatia,extinct,0,5
Deti,Botswana,extinct,0,5
Dharug,Australia,critically endangered,0,4
Dhurga,Australia,critically endangered,0,4
Dicamay Agta,Philippines,extinct,0,5
Dorasque,Panama,extinct,0,5
Dororo,Solomon Islands,extinct,0,5
Duli,Cameroon,extinct,0,5
Dungidjau,Australia,extinct,0,5
Dura,Nepal,extinct,0,5
Eastern Abenaki,United States of America,extinct,0,5
Eastern Kamchadal,Russian Federation,extinct,0,5
Eastern Pomo,United States of America,extinct,0,5
Eel River Athabaskan,United States of America,extinct,0,5
Eliri,Sudan,severely endangered,0,3
Elmolo,Kenya,extinct,0,5
Eotile,Côte d'Ivoire,extinct,0,5
Eyak,United States of America,extinct,0,5
Gaagudju,Australia,extinct,0,5
Gafat,Ethiopia,extinct,0,5
Garífuna,Nicaragua,critically endangered,0,4
Ge'ez,Ethiopia,extinct,0,5
Getmata,Papua New Guinea,extinct,0,5
Gey,Cameroon,extinct,0,5
Gothic,Ukraine,extinct,0,5
Guanche,Spain,extinct,0,5
Gule,Sudan,extinct,0,5
Guliguli,Solomon Islands,extinct,0,5
Gününa Küne,Argentina,extinct,0,5
Gyasumdo,Nepal,definitely endangered,0,2
Hanis,United States of America,extinct,0,5
Hoanya,China,extinct,0,5
Homa,Sudan,extinct,0,5
Horo,Chad,extinct,0,5
Hpun,Myanmar,extinct,0,5
Huitoto,Brazil,extinct,0,5
Hukumina,Indonesia,extinct,0,5
Huron-Wyandot,United States of America,extinct,0,5
Ifo,Vanuatu,extinct,0,5
Ineseño,United States of America,extinct,0,5
Island Carib,Dominica,extinct,0,5
Island Chumash,United States of America,extinct,0,5
Jorá,Bolivia (Plurinational State of),critically endangered,0,4
Judeo-Berber,Morocco,extinct,0,5
Kamas,Russian Federation,extinct,0,5
Kamas Turk,Russian Federation,extinct,0,5
